	V	Mp	S	L	C	M	Kd	Sd
1. Klimatskadliga subventioner	1	1	0	1	1	1	1	0
2. Avståndsbaserat reseavdrag	1	1	0	1	1	0	1	0
3. Flygets miljökostnader	1	1	1	1	1	1	1	0
4. Fossila investeringar via exportkrediter	1	1	0	1	1	0	1	0
5. Konsumtionens klimatpåverkan	1	1	1	1	0	0	0	0
6. Klimathandlingsplaner	1	1	1	1	1	1	0	0
7. Skydd av värdefulla skogar	1	1	1	1	0	0	0	0
8. Översyn av skogspolitiken	1	1	0	1	0	1	1	0
9. Mineralutvinning i skyddad natur	1	1	0	1	0	0	0	0
10. Ekologiskt jordbruk	1	1	1	0	0	1	1	0
11. Miljöavgift på växtskyddsmedel	1	1	1	1	1	0	0	0
12. Miljöersättning till betesmarker	1	1	1	1	1	0	1	1
13. Stärkt marint skydd	1	1	1	1	0	0	1	0
14. Förbud mot bottentrålning	1	1	1	0	0	1	0	0
15. Återvinning av plast	1	1	1	1	1	1	1	0
16. Information om varors kemikalieinnehåll	1	1	1	1	1	1	1	1
17. Ägardirektiv till statliga bolag	1	1	1	1	1	1	1	0
18. Stärkande av miljöbalken	1	1	0	1	0	1	1	0
